Layer,x,y
1, 255, 278
1, 254, 279
1, 253, 279
1, 252, 280
1, 251, 280
1, 250, 280
1, 249, 280
1, 248, 280
1, 247, 280
1, 246, 280
1, 245, 280
1, 244, 280
1, 243, 280
1, 242, 281
1, 241, 281
1, 240, 282
1, 239, 282
1, 238, 283
1, 237, 283
1, 236, 284
1, 235, 284
1, 234, 285
1, 233, 285
1, 232, 286
1, 231, 286
1, 230, 287
1, 229, 287
1, 228, 288
1, 227, 288
1, 226, 289
1, 225, 289
1, 225, 290
1, 224, 291
1, 223, 292
1, 222, 293
1, 221, 294
1, 220, 295
1, 219, 295
1, 219, 296
1, 218, 297
1, 218, 298
1, 217, 299
1, 217, 300
1, 216, 301
1, 216, 302
1, 215, 303
1, 215, 304
1, 215, 305
1, 215, 306
1, 214, 307
1, 214, 308
1, 214, 309
1, 215, 310
1, 215, 311
1, 215, 312
1, 215, 313
1, 215, 314
1, 215, 315
1, 215, 316
1, 215, 317
1, 214, 318
1, 214, 319
1, 213, 320
1, 213, 321
1, 213, 322
1, 214, 323
1, 214, 324
1, 215, 325
1, 215, 326
1, 215, 327
1, 215, 328
1, 216, 329
1, 216, 330
1, 217, 331
1, 217, 332
1, 218, 333
1, 218, 334
1, 219, 335
1, 219, 336
1, 220, 336
1, 221, 337
1, 221, 338
1, 221, 339
1, 221, 340
1, 220, 341
1, 221, 342
1, 221, 343
1, 222, 344
1, 222, 345
1, 223, 346
1, 223, 347
1, 224, 348
1, 224, 349
1, 225, 350
1, 226, 350
1, 227, 351
1, 228, 351
1, 229, 352
1, 230, 352
1, 231, 352
1, 232, 352
1, 233, 352
1, 234, 352
1, 235, 352
1, 236, 352
1, 237, 352
1, 238, 352
1, 239, 353
1, 240, 353
1, 241, 354
1, 242, 354
1, 243, 355
1, 244, 355
1, 245, 355
1, 246, 355
1, 247, 355
1, 248, 355
1, 249, 355
1, 250, 355
1, 251, 355
1, 252, 355
1, 253, 355
1, 254, 355
1, 255, 355
1, 256, 354
1, 257, 354
1, 258, 353
1, 259, 353
1, 260, 352
1, 261, 352
1, 262, 351
1, 263, 351
1, 264, 350
1, 265, 350
1, 266, 349
1, 267, 349
1, 268, 348
1, 269, 347
1, 270, 346
1, 271, 345
1, 272, 344
1, 273, 343
1, 274, 342
1, 275, 342
1, 276, 341
1, 277, 341
1, 278, 340
1, 279, 340
1, 279, 339
1, 280, 338
1, 280, 337
1, 281, 336
1, 281, 335
1, 282, 334
1, 282, 333
1, 283, 332
1, 283, 331
1, 284, 330
1, 284, 329
1, 284, 328
1, 285, 327
1, 285, 326
1, 285, 325
1, 286, 324
1, 286, 323
1, 286, 322
1, 286, 321
1, 286, 320
1, 286, 319
1, 286, 318
1, 286, 317
1, 286, 316
1, 287, 315
1, 287, 314
1, 288, 313
1, 288, 312
1, 288, 311
1, 288, 310
1, 288, 309
1, 288, 308
1, 288, 307
1, 287, 306
1, 287, 305
1, 287, 304
1, 287, 303
1, 286, 302
1, 286, 301
1, 285, 300
1, 285, 299
1, 284, 298
1, 284, 297
1, 283, 296
1, 283, 295
1, 282, 294
1, 281, 293
1, 280, 292
1, 280, 291
1, 279, 290
1, 279, 289
1, 278, 289
1, 277, 288
1, 276, 288
1, 275, 287
1, 274, 287
1, 273, 286
1, 272, 286
1, 271, 285
1, 270, 285
1, 269, 284
1, 268, 284
1, 267, 283
1, 266, 283
1, 265, 282
1, 264, 282
1, 263, 281
1, 262, 281
1, 261, 280
1, 260, 280
1, 259, 279
1, 258, 279
1, 257, 278
1, 256, 278
2, 254, 279
2, 255, 278
2, 256, 278
2, 257, 278
2, 258, 279
2, 259, 279
2, 260, 280
2, 261, 280
2, 262, 281
2, 263, 281
2, 264, 282
2, 265, 282
2, 266, 283
2, 267, 283
2, 268, 284
2, 269, 284
2, 270, 285
2, 271, 285
2, 272, 286
2, 273, 286
2, 274, 287
2, 275, 287
2, 276, 288
2, 277, 288
2, 278, 289
2, 279, 290
2, 280, 291
2, 280, 292
2, 281, 293
2, 281, 294
2, 282, 295
2, 283, 296
2, 284, 297
2, 284, 298
2, 285, 299
2, 285, 300
2, 286, 301
2, 286, 302
2, 287, 303
2, 287, 304
2, 287, 305
2, 287, 306
2, 288, 307
2, 288, 308
2, 288, 309
2, 288, 310
2, 288, 311
2, 288, 312
2, 288, 313
2, 287, 314
2, 287, 315
2, 286, 316
2, 286, 317
2, 286, 318
2, 286, 319
2, 286, 320
2, 286, 321
2, 286, 322
2, 286, 323
2, 286, 324
2, 285, 325
2, 285, 326
2, 285, 327
2, 284, 328
2, 284, 329
2, 284, 330
2, 283, 331
2, 283, 332
2, 282, 333
2, 282, 334
2, 281, 335
2, 281, 336
2, 280, 337
2, 280, 338
2, 279, 339
2, 278, 340
2, 277, 341
2, 276, 341
2, 275, 342
2, 274, 342
2, 273, 343
2, 272, 343
2, 271, 344
2, 270, 345
2, 269, 346
2, 268, 347
2, 267, 348
2, 266, 349
2, 265, 350
2, 264, 350
2, 263, 351
2, 262, 351
2, 261, 352
2, 260, 352
2, 259, 353
2, 258, 353
2, 257, 354
2, 256, 354
2, 255, 355
2, 254, 355
2, 253, 355
2, 252, 355
2, 251, 355
2, 250, 355
2, 249, 355
2, 248, 355
2, 247, 355
2, 246, 355
2, 245, 355
2, 244, 355
2, 243, 355
2, 242, 354
2, 241, 354
2, 240, 353
2, 239, 353
2, 238, 352
2, 237, 352
2, 236, 352
2, 235, 352
2, 234, 352
2, 233, 352
2, 232, 352
2, 231, 352
2, 230, 352
2, 229, 352
2, 228, 351
2, 227, 351
2, 226, 350
2, 225, 349
2, 224, 348
2, 223, 347
2, 223, 346
2, 222, 345
2, 222, 344
2, 221, 343
2, 221, 342
2, 220, 341
2, 221, 340
2, 221, 339
2, 221, 338
2, 221, 337
2, 220, 336
2, 219, 335
2, 218, 334
2, 218, 333
2, 217, 332
2, 217, 331
2, 216, 330
2, 216, 329
2, 215, 328
2, 215, 327
2, 215, 326
2, 215, 325
2, 214, 324
2, 214, 323
2, 213, 322
2, 213, 321
2, 213, 320
2, 214, 319
2, 214, 318
2, 215, 317
2, 215, 316
2, 215, 315
2, 215, 314
2, 215, 313
2, 215, 312
2, 215, 311
2, 215, 310
2, 214, 309
2, 214, 308
2, 214, 307
2, 215, 306
2, 215, 305
2, 215, 304
2, 215, 303
2, 216, 302
2, 216, 301
2, 217, 300
2, 217, 299
2, 218, 298
2, 218, 297
2, 219, 296
2, 220, 295
2, 221, 294
2, 222, 294
2, 223, 293
2, 224, 292
2, 224, 291
2, 225, 290
2, 226, 289
2, 227, 288
2, 228, 288
2, 229, 287
2, 230, 287
2, 231, 286
2, 232, 286
2, 233, 285
2, 234, 285
2, 235, 284
2, 236, 284
2, 237, 283
2, 238, 283
2, 239, 282
2, 240, 282
2, 241, 281
2, 242, 281
2, 243, 280
2, 244, 280
2, 245, 280
2, 246, 280
2, 247, 280
2, 248, 280
2, 249, 280
2, 250, 280
2, 251, 280
2, 252, 280
2, 253, 279
3, 255, 292
3, 254, 293
3, 253, 293
3, 252, 294
3, 251, 294
3, 250, 294
3, 249, 294
3, 248, 294
3, 247, 294
3, 246, 294
3, 245, 294
3, 244, 294
3, 243, 294
3, 242, 295
3, 241, 295
3, 240, 296
3, 239, 296
3, 238, 297
3, 237, 297
3, 236, 298
3, 235, 298
3, 234, 299
3, 234, 300
3, 233, 301
3, 232, 302
3, 231, 303
3, 230, 304
3, 229, 305
3, 229, 306
3, 228, 307
3, 228, 308
3, 228, 309
3, 229, 310
3, 229, 311
3, 229, 312
3, 229, 313
3, 229, 314
3, 229, 315
3, 229, 316
3, 229, 317
3, 228, 318
3, 228, 319
3, 227, 320
3, 227, 321
3, 227, 322
3, 228, 323
3, 228, 324
3, 229, 325
3, 229, 326
3, 230, 327
3, 231, 328
3, 232, 329
3, 233, 330
3, 234, 331
3, 234, 332
3, 235, 333
3, 235, 334
3, 235, 335
3, 235, 336
3, 236, 337
3, 237, 338
3, 238, 338
3, 239, 339
3, 240, 339
3, 241, 340
3, 242, 340
3, 243, 341
3, 244, 341
3, 245, 341
3, 246, 341
3, 247, 341
3, 248, 341
3, 249, 341
3, 250, 341
3, 251, 341
3, 252, 341
3, 253, 341
3, 254, 341
3, 255, 341
3, 256, 340
3, 257, 340
3, 258, 339
3, 258, 338
3, 259, 337
3, 260, 336
3, 261, 335
3, 262, 334
